geometry,name,vicinity,types,lat,lng
"{'location': {'lat': 29.9298915, 'lng': -90.076672}, 'viewport': {'northeast': {'lat': 29.9312608802915, 'lng': -90.0752670197085}, 'southwest': {'lat': 29.9285629197085, 'lng': -90.07796498029151}}}",Shell,"2135 Magazine Street, New Orleans","['gas_station', 'atm', 'convenience_store', 'finance', 'store', 'food', 'point_of_interest', 'establishment']",29.9298915,-90.076672
"{'location': {'lat': 29.9292138, 'lng': -90.0671749}, 'viewport': {'northeast': {'lat': 29.9306477302915, 'lng': -90.06581721970849}, 'southwest': {'lat': 29.9279497697085, 'lng': -90.0685151802915}}}",Shell,"1667 Tchoupitoulas Street, New Orleans","['gas_station', 'atm', 'convenience_store', 'finance', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",29.9292138,-90.0671749
"{'location': {'lat': 29.940842, 'lng': -90.0965635}, 'viewport': {'northeast': {'lat': 29.94234498029149, 'lng': -90.09529171970851}, 'southwest': {'lat': 29.9396470197085, 'lng': -90.09798968029152}}}",Delta Fuel,"4645, 3300 South Claiborne Avenue, New Orleans","['gas_station', 'point_of_interest', 'establishment']",29.940842,-90.0965635
"{'location': {'lat': 29.975925, 'lng': -90.07866369999999}, 'viewport': {'northeast': {'lat': 29.9772269302915, 'lng': -90.07724491970849}, 'southwest': {'lat': 29.9745289697085, 'lng': -90.0799428802915}}}",Valero Gas Station,"1233 N BROAD AVE, New Orleans","['gas_station', 'point_of_interest', 'establishment']",29.975925,-90.07866369999999
"{'location': {'lat': 29.9738581, 'lng': -90.0566764}, 'viewport': {'northeast': {'lat': 29.9752271302915, 'lng': -90.05546816970849}, 'southwest': {'lat': 29.9725291697085, 'lng': -90.0581661302915}}}",Shell,"1601 Elysian Fields Avenue, New Orleans","['gas_station', 'atm', 'convenience_store', 'finance', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",29.9738581,-90.0566764
"{'location': {'lat': 29.94086, 'lng': -90.10020000000002}, 'viewport': {'northeast': {'lat': 29.9421092302915, 'lng': -90.0988408197085}, 'southwest': {'lat': 29.9394112697085, 'lng': -90.1015387802915}}}",Exxon,"4101 South Claiborne Avenue, New Orleans","['gas_station', 'point_of_interest', 'establishment']",29.94086,-90.10020000000002
"{'location': {'lat': 29.96533909999999, 'lng': -90.0990978}, 'viewport': {'northeast': {'lat': 29.9666445302915, 'lng': -90.0977812197085}, 'southwest': {'lat': 29.9639465697085, 'lng': -90.1004791802915}}}",Exxon,"3402 Tulane Avenue, New Orleans","['gas_station', 'point_of_interest', 'establishment']",29.96533909999999,-90.0990978
"{'location': {'lat': 29.9566166, 'lng': -90.1044764}, 'viewport': {'northeast': {'lat': 29.9579820802915, 'lng': -90.10317206970849}, 'southwest': {'lat': 29.9552841197085, 'lng': -90.1058700302915}}}",Shell,"1308 South Jefferson Davis Parkway, New Orleans","['gas_station', 'atm', 'convenience_store', 'finance', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",29.9566166,-90.1044764
"{'location': {'lat': 29.9833395, 'lng': -90.0713076}, 'viewport': {'northeast': {'lat': 29.9847493302915, 'lng': -90.0700507197085}, 'southwest': {'lat': 29.9820513697085, 'lng': -90.07274868029151}}}",TRIANGLE DELI,"1904 North Broad Street, New Orleans","['convenience_store', 'gas_station', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",29.9833395,-90.0713076
"{'location': {'lat': 29.9830964, 'lng': -90.0889323}, 'viewport': {'northeast': {'lat': 29.9845218802915, 'lng': -90.08763426970849}, 'southwest': {'lat': 29.9818239197085, 'lng': -90.09033223029151}}}",Shell,"3494 Esplanade Avenue, New Orleans","['gas_station', 'atm', 'convenience_store', 'finance', 'store', 'food', 'point_of_interest', 'establishment']",29.9830964,-90.0889323
