geometry,name,vicinity,types,lat,lng
"{'location': {'lat': 29.9520391, 'lng': -90.0771376}, 'viewport': {'northeast': {'lat': 29.9532524802915, 'lng': -90.07587751970848}, 'southwest': {'lat': 29.9505545197085, 'lng': -90.0785754802915}}}",New Orleans City Hall,"1300 Perdido Street, New Orleans","['city_hall', 'local_government_office', 'point_of_interest', 'establishment']",29.9520391,-90.0771376
"{'location': {'lat': 29.9485401, 'lng': -90.0710799}, 'viewport': {'northeast': {'lat': 29.9498710802915, 'lng': -90.06965106970848}, 'southwest': {'lat': 29.9471731197085, 'lng': -90.07234903029149}}}",Gallier Hall,"545 Saint Charles Avenue, New Orleans","['city_hall', 'local_government_office', 'point_of_interest', 'establishment']",29.9485401,-90.0710799
"{'location': {'lat': 29.9575805, 'lng': -90.070933}, 'viewport': {'northeast': {'lat': 29.95892023029151, 'lng': -90.0695701697085}, 'southwest': {'lat': 29.95622226970851, 'lng': -90.0722681302915}}}","North Rampart Main Street, Inc","312 North Rampart Street, New Orleans","['city_hall', 'local_government_office', 'point_of_interest', 'establishment']",29.9575805,-90.070933
"{'location': {'lat': 29.9170138, 'lng': -90.0657769}, 'viewport': {'northeast': {'lat': 29.9184270802915, 'lng': -90.06448211970849}, 'southwest': {'lat': 29.9157291197085, 'lng': -90.06718008029151}}}",Gretna City Hall,"740 2nd Street, Gretna","['city_hall', 'local_government_office', 'point_of_interest', 'establishment']",29.9170138,-90.0657769
"{'location': {'lat': 29.9682514, 'lng': -90.013741}, 'viewport': {'northeast': {'lat': 29.9695819302915, 'lng': -90.0123150197085}, 'southwest': {'lat': 29.9668839697085, 'lng': -90.0150129802915}}}",South ninth ward,"1738 Caffin Avenue, New Orleans","['city_hall', 'local_government_office', 'point_of_interest', 'establishment']",29.9682514,-90.013741
